P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6)
0.014918326689665489,0.014925587737199597,0.9253999085601908,0.014919334558332942,0.014918367814842315,0.014918474639768938
0.025899011776177833,0.025915245715874623,0.8704880058693817,0.02589901906857916,0.025899649455380952,0.02589906811460581
0.019892080585533916,0.019902367358320676,0.9005252042873886,0.01989565499732025,0.019892306643483515,0.019892386127953184
0.021213061397663636,0.02122591785035608,0.8939071387722073,0.021227349735432607,0.021213141627232562,0.021213390617107912
0.01240940034202048,0.012418857147404726,0.9378949630662751,0.012452097199857563,0.012414927396137778,0.01240975484830436
0.024051077476579877,0.024068006174743313,0.8797228657523629,0.024055191668657626,0.02405171491204012,0.024051144015616158
0.019351542886792174,0.019577000237646795,0.9029949283632377,0.019372620914011315,0.019351749393422237,0.01935215820488985
0.018621840430168353,0.018629706563050675,0.9068818655710863,0.018622088982065486,0.018622504678528842,0.018621993775100282
0.019152778529051007,0.019160567505045693,0.9042272261975831,0.019152788711747016,0.01915362641501692,0.019153012641556423
0.024676209018799262,0.024678451645135623,0.8766162235627382,0.024676214423381897,0.02467657035466562,0.024676330995279376
0.01962618524726877,0.019627734443596764,0.9018665855830207,0.019626342768984388,0.01962631026855189,0.019626841688577604
0.02333132745295208,0.023336532138912548,0.8833371243954667,0.023331210022638882,0.023332492757492496,0.023331313232537343
0.018201506878153105,0.01820781542636416,0.9090010059688015,0.018196451908777025,0.018196727695330445,0.018196492122573807
0.013040077333507587,0.013039340504079967,0.9347953551518248,0.013044598266246364,0.013040421553164847,0.013040207191176514
0.022864014160844076,0.3025390810790763,0.6060039961166749,0.02286429371797064,0.022864144488626975,0.022864470436807158
0.023604856230641208,0.02377322574352809,0.8817915761930661,0.023620395846683528,0.02360493224228339,0.023605013743797663
0.018393089984307564,0.01839548555320812,0.9080477771049477,0.018387641764240244,0.018388127953973994,0.01838787763932235
0.025599903070546548,0.025608723900180402,0.27869931367254697,0.6188904772350763,0.025601385876132914,0.0256001962455168
0.023279582879538754,0.02327923751568879,0.8836021084306677,0.02327958059866032,0.023279638859961347,0.02327985171548314
0.02771936843236243,0.027727932370405613,0.4041314709687757,0.027727381626981122,0.48497401327521494,0.027719833326260167
0.022644755440673976,0.022684120370969382,0.8867367354478357,0.02264467938515915,0.022644926294028832,0.022644783061332992
0.01809741354609082,0.018097974094444434,0.9095140496999814,0.018096668146429302,0.018096768560910588,0.018097125952143155
0.020206958686216803,0.02020882944335592,0.8989631685788949,0.020207074072620505,0.02020692519944634,0.020207044019465624
0.024500024180682468,0.024548355417790633,0.8774502926804344,0.02450057450747757,0.024500573887994516,0.02450017932562045
0.0277430030423938,0.027742632387232485,0.8612849870353665,0.02774304790073727,0.027743100597936655,0.027743229036333285
0.027169658326579645,0.027194212946416486,0.8641268771779501,0.02716967636338136,0.02716972186242496,0.027169853323247603
0.0261408498212604,0.026170470235543256,0.8692655965272499,0.02614086843881928,0.026141144142822047,0.026141070834305218
0.016231916139960414,0.016253772898498053,0.9188161679826463,0.016232407529107998,0.016233611001914137,0.016232124447873048
0.025897871571368754,0.025897245577945725,0.8705105081507617,0.02589810401915914,0.02589796453440821,0.025898306146356655
0.01424640479931656,0.01425164323937446,0.9287620258781535,0.014246179019882392,0.014247042457403911,0.014246704605869265
0.021868746589258185,0.021923441469521816,0.8905973567732434,0.021872641523710736,0.021868825261813246,0.02186898838245281
0.017327809091304245,0.017329122891124916,0.913359056948089,0.017328061612215923,0.017327880936644474,0.017328068520621312
0.013176751640837108,0.013177837289293257,0.9341117651035712,0.013176863814639063,0.013179540508733262,0.013177241642925941
0.020530328373166852,0.020530121966413156,0.8973480025992943,0.020530343117482155,0.020530565082116016,0.020530638861527648
0.028762147232100816,0.02876141915898858,0.8561854582003319,0.02876201110892738,0.02876667237962162,0.028762291920029742
0.01869189275651929,0.018717526809372043,0.9065132634030114,0.018691908963219175,0.018693313166143408,0.018692094901734544
0.015469786214868409,0.015481109159710654,0.9226391558593747,0.015470065410330176,0.01546985332454033,0.015470030031175658
