P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8)
0.04921741481683075,0.049217414700827924,0.6553055498845795,0.049217414835345176,0.04921741478177319,0.04938986130721807,0.04921741479114788,0.049217514882277526
0.035487107129856775,0.03548710588281511,0.0355659040592349,0.03548710720404225,0.03548710665795498,0.7515113888639621,0.03548710674742687,0.03548717345470701
0.032919338733348284,0.03291933822464689,0.2514932204247539,0.03291933879967895,0.032919338578848704,0.5509907196254084,0.03291933862010606,0.032919366993208646
0.013082068537654177,0.013082061242734679,0.013083197653268833,0.013082064353219113,0.013082063170067257,0.9084244171520833,0.013082063391610185,0.013082064499362398
0.047193643445060274,0.04719364330977649,0.04722046934914719,0.04719364346211436,0.04719364340402802,0.6696174922478496,0.04719364341520825,0.047193821366815686
0.05620964178078799,0.05620964177402431,0.6064979617327967,0.05620964178179202,0.0562096417787774,0.05624393673471144,0.05620964177930054,0.05620989263780964
0.057114972364701005,0.05711497226987503,0.05722866641656335,0.057114972378642104,0.057114972334852555,0.6000806047440654,0.05711497234311732,0.05711586714818325
0.025340812105678883,0.02534081046752538,0.025356188613386683,0.025340812315566272,0.02534081161045583,0.8225989234516042,0.025340811742631652,0.025340829693151032
0.05411722370684698,0.0541172237031483,0.6211287451424389,0.05411722370773333,0.054117223705526005,0.05416757896809755,0.054117223705979725,0.05411755736022915
0.04949353586868318,0.049493535855182035,0.6535228974682581,0.049493535870372134,0.04949353587178521,0.04951579330094898,0.04949353586602828,0.04949362989874202
0.03316731427627417,0.03316731353073519,0.21775229509398147,0.03316731437212564,0.03316731405208938,0.5832437807859138,0.0331673141108094,0.03316735377807095
